date,location_key,country_code,country_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,latitude,longitude,area_sq_km,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,physicians_per_1000,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,relative_humidity,population_largest_city,area_rural_sq_km,area_urban_sq_km,life_expectancy,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,new_recovered,cumulative_recovered,paso,new_vaccine_doses_administered,active_cases
2021-01-02,AR,AR,Argentina,7767,166,7767,166,20334,44938712,19523766,20593330,3599141,41339571,16.515,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,449663446954,10006,-34,-64,2780400,21.8,5.9,8.8,2.5996,3.9901,27,18,33,0.0,43.58135,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8,7767,7767,0,20334,0
2021-01-03,AR,AR,Argentina,4934,157,12701,323,20529,44938712,19523766,20593330,3599141,41339571,16.515,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,449663446954,10006,-34,-64,2780400,21.8,5.9,8.8,2.5996,3.9901,21,17,33,13.1445,74.880846,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8,4934,12701,20334,195,0
2021-01-04,AR,AR,Argentina,13953,157,26654,480,25164,44938712,19523766,20593330,3599141,41339571,16.515,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,449663446954,10006,-34,-64,2780400,21.8,5.9,8.8,2.5996,3.9901,24,18,30,1.4986,60.805923,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8,12911,25612,20529,4635,885
2021-01-05,AR,AR,Argentina,14085,160,40739,640,29852,44938712,19523766,20593330,3599141,41339571,16.515,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,449663446954,10006,-34,-64,2780400,21.8,5.9,8.8,2.5996,3.9901,20,16,30,8.28675,72.972595,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8,12911,38523,25164,4688,1014
2021-01-06,AR,AR,Argentina,14496,131,55235,771,34162,44938712,19523766,20593330,3599141,41339571,16.515,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,449663446954,10006,-34,-64,2780400,21.8,5.9,8.8,2.5996,3.9901,20,13,26,5.108222,52.241997,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8,12911,51435,29852,4310,1454
2021-01-07,AR,AR,Argentina,13722,160,68957,931,42092,44938712,19523766,20593330,3599141,41339571,16.515,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,449663446954,10006,-34,-64,2780400,21.8,5.9,8.8,2.5996,3.9901,25,12,32,0.0,39.691672,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8,12911,64346,34162,7930,651
2021-01-08,AR,AR,Argentina,13932,162,82889,1093,54090,44938712,19523766,20593330,3599141,41339571,16.515,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,449663446954,10006,-34,-64,2780400,21.8,5.9,8.8,2.5996,3.9901,22,16,33,3.265714,57.254261,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8,12911,77257,42092,11998,859
2021-01-09,AR,AR,Argentina,9959,158,92848,1251,58552,44938712,19523766,20593330,3599141,41339571,16.515,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,449663446954,10006,-34,-64,2780400,21.8,5.9,8.8,2.5996,3.9901,22,13,29,13.687778,61.715447,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8,9959,87216,54090,4462,0
2021-01-10,AR,AR,Argentina,5174,165,98022,1416,59043,44938712,19523766,20593330,3599141,41339571,16.515,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,449663446954,10006,-34,-64,2780400,21.8,5.9,8.8,2.5996,3.9901,25,17,32,0.0,62.971625,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8,5174,92390,58552,491,0
2021-01-11,AR,AR,Argentina,13076,170,111098,1586,67496,44938712,19523766,20593330,3599141,41339571,16.515,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,449663446954,10006,-34,-64,2780400,21.8,5.9,8.8,2.5996,3.9901,22,16,32,17.3736,69.595456,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8,12911,105302,59043,8453,0
